data,texto
2026-01-29,EMPRESTIMO ADM -14K
2026-02-02,DEVOLUÇÃO BUNGE +14K
2026-02-03,EMPRESTIMO BUNGE -6K
2026-02-10,EMPRESTIMO COFCO -9K
2026-02-10,EMPRESTIMO BUNGE -23K
2026-02-13,DEVOLUÇÃO ADM +29K
2026-02-14,"EMPRESTIMO ADM -13K
"""
2026-02-14,EMPRESTIMO COFCO -10K
2026-02-16,DEVOLUÇÃO ADM +9K
2026-02-16,EMPRESTIMO ADM -11K
2026-02-16,DEVOLUÇÃO BUNGE +10K
2026-02-17,EMPRESTIMO BUNGE -5K
2026-02-19,DEVOLUÇÃO COFCO +11K
2026-02-20,DEVOLUÇÃO BUNGE +13K
2026-02-22,EMPRESTIMO ADM -22K
2026-02-23,EMPRESTIMO BUNGE -22K
2026-02-27,"DEVOLUÇÃO COFCO +27K
[Cofco string  ADM 10k + Devolução 17K)"
2026-02-28,EMPRESTIMO ADM -4K
2026-03-03,"""DEVOLUÇÃO COFCO +22K 
[cofco string  bunge 8k + Devolução 14K)"""
2026-03-04,DEVOLUÇÃO BUNGE +4K
2026-03-06,"""DEVOLUÇÃO COFCO +8K 
[cofco string  ADM 2k + Devolução 6K)"""
2026-03-07,EMPRÉSTIMO ADM  +17K
2026-03-09,DEVOLUÇÃO BUNGE +11K [pendente 6k]
2026-03-09,DEVOLUÇÃO COFCO +9K  [pendente 3k]
2026-03-12,DEVOLUÇÃO BUNGE +6K
2026-03-12,DEVOLUÇÃO COFCO +3K
2026-03-13,EMPRÉSTIMO COFCO +7K
2026-03-13,EMPRÉSTIMO BUNGE  +8K
2026-03-19,DEVOLUÇÃO ADM +7K
2026-03-19,EMPRÉSTIMO BUNGE  +13K
2026-03-20,EMPRÉSTIMO ADM  +19K
2026-03-22,DEVOLUÇÃO ADM  +8K
2026-03-22,DEVOLUÇÃO COFCO  +4K
2026-03-29,DEVOLUÇÃO COFCO +15K
2026-04-04,DEVOLUÇÃO COFCO +9K
2026-04-06,DEVOLUÇÃO COFCO +4K
2026-04-09,EMPRESTIMO ADM +20K
2026-04-10,EMPRESTIMO BUNGE +22K
2026-04-17,DEVOLUÇÃO COFCO +5K
2026-04-30,DEVOLUÇÃO COFCO +12K
2026-05-03,DEVOLUÇÃO COFCO +2K
2026-05-04,EMPRESTIMO STRING COFCO  - ADM +8K
2026-05-09,DEVOLUÇÃO COFCO +4K
2026-05-23,DEVOLUÇÃO COFCO +13K
2026-05-29,EMPRESTIMO ADM 15K
2026-06-07,EMPRESTIMO COFCO 9K
2026-06-13,EMPRESTIMO COFCO 14K
2026-06-14,EMPRESTIMO ADM 14K
2026-06-16,DEVOLUÇÃO  COFCO 6K
2026-06-16,DEVOLUÇÃO BUNGE 14K
2026-06-16,DEVOLUÇÃO LDC 8K - total de 15k
2026-06-19,EMPRESTIMO BUNGE 9K
2026-06-19,DEVOLUÇÃO LDC 5K
2026-06-20,EMPRESTIMO COFCO 3k
2026-06-28,DEVOLUÇÃO  ADM 3K
2026-06-29,DEVOLUÇÃO LDC 2K
2026-06-29,DEVOLUÇÃO  BUNGE 23K
2026-07-01,"DEVOLUÇÃO ADM 6K : Pendente 3K
ADM 2K - String LDC
ADM 4K"
2026-07-14,DEVOLUÇÃO  ADM 3K
2026-07-18,DEVOLUÇÃO  ADM 2K
