nome,produto,data_referencia,qtd_bg_planejada,qtd_ton_planejada
VG 001 - 26 - JOSE AIUB,soja,2026-01-21,9,18307.0
VG 002 - 26 - PNS III,soja,2026-01-25,9,18240.0
VG 003 - 26 - TBL 118,soja,2026-01-29,6,14865.0
VG 004 - 26 - CUMARU,soja,2026-01-30,9,18647.0
VG 005 - 26 - TBL  114,soja,2026-01-31,6,14636.0
VG 006 - 26 - TBL  104,soja,2026-02-01,12,29735.0
VG 007 - 26 - PNS II,soja,2026-02-04,9,18790.0
VG 008 - 26 - TBL 134,soja,2026-02-07,12,29460.0
VG 009 - 26 - PNS III,soja,2026-02-09,9,18314.0
VG 010 - 26 - TBL 140,soja,2026-02-12,14,34171.0
VG 011 - 26 - MASSUTTI,soja,2026-02-13,12,29963.0
VG 012 - 26 - JOSE AIUBE,soja,2026-02-14,9,18247.0
VG 013 - 26 - TBL 122,soja,2026-02-14,9,21945.0
VG 014 - 26 - TBL 138,soja,2026-02-16,12,28996.0
VG 015 - 26 - TBL 104,soja,2026-02-19,9,22014.0
VG 016 - 26 - NAVEGRÃOS,soja,2026-02-20,12,24100.0
VG 017 - 26 - TBL 100,soja,2026-02-22,9,22014.0
VG 018 - 26 - CUMARU,soja,2026-02-23,9,18100.0
VG 019 - 26 - TBL 124,soja,2026-02-25,12,29352.0
VG 020 - 26 - PNS II,soja,2026-02-26,9,18000.0
VG 021 - 26 - TBL 126,soja,2026-02-27,9,22014.0
VG 022 - 26 - PNS III,soja,2026-03-01,9,18000.0
VG 023 - 26 - TBL 122,soja,2026-03-01,9,22014.0
VG 024 - 26 - TBL 138,soja,2026-03-03,9,22328.0
VG 025 - 26 - JOSE AIUB,soja,2026-03-04,9,18262.0
VG 026 - 26 - TBL 104,soja,2026-03-06,9,22328.0
VG 027 - 26 - TBL 100,soja,2026-03-08,9,22328.0
VG 028 - 26 - NAVEGRAOS XIII,soja,2026-03-10,12,24128.0
VG 029 - 26 - TBL 124,soja,2026-03-11,9,22328.0
VG 030 - 26 - TBL  126,soja,2026-03-13,9,22328.0
VG 031 - 26 - CUMARU,soja,2026-03-13,9,18350.0
VG 032 - 26 - TBL 122,soja,2026-03-16,9,22328.0
VG 033 - 26 - PNSII,soja,2026-03-16,9,18000.0
VG 034 - 26 - TBL 102,soja,2026-03-18,9,22328.0
VG 035 - 26 - PNSIII,soja,2026-03-19,9,18000.0
VG 036 - 26 - TBL 104,soja,2026-03-20,9,22328.0
VG 037 - 26 - JOSE AIUB,soja,2026-03-21,9,18000.0
VG 038 - 26 - TBL 124,soja,2026-03-26,9,22328.0
VG 039 - 26 - TBL 100,soja,2026-03-27,9,22328.0
VG 040 - 26 - NAVEGRÃOS,soja,2026-03-27,12,24000.0
VG 041 - 26 - TBL 126,soja,2026-03-28,9,22328.0
VG 042 - 26 - TBL 122,soja,2026-03-30,9,22328.0
VG 043 - 26 - CUMARU,soja,2026-03-31,9,18000.0
VG 044 - 26 - TBL 102,soja,2026-04-02,9,22328.0
VG 045 - 26 - PNSII,soja,2026-04-02,9,18000.0
VG 046 - 26 - PNSIII,soja,2026-04-05,9,18000.0
VG 047 - 26 - TBL 104,soja,2026-04-06,9,22328.0
VG 048 - 26 - JOSE AIUBE,soja,2026-04-10,9,18000.0
VG 049 - 26 - TBL 132,soja,2026-04-11,9,22328.0
VG 050 - 26 - TBL 136,soja,2026-04-13,9,22328.0
VG 051 - 26 - NAVEGRÃOS,soja,2026-04-16,12,24000.0
VG 052- 26 - TBL 100,soja,2026-04-17,9,22328.0
VG 053 - 26 - GD CUMARU,soja,2026-04-20,9,18000.0
VG 054 - 26 - TBL 140,soja,2026-04-21,9,22329.0
VG 055 - 26 - TBL 102,soja,2026-04-23,9,22328.0
VG 056 - 26 - PNS II,soja,2026-04-24,9,18000.0
VG 057 - 26 - TBL 104,soja,2026-04-26,9,22328.0
VG 058 - 26 - TBL 132,soja,2026-04-30,9,22328.0
VG 059- 26 - TBL 136,soja,2026-05-03,9,22328.0
VG 060 - 26 - PNS III,soja,2026-05-06,9,17777.0
VG 061- 26 - TBL 124,soja,2026-05-08,10,22328.0
VG 062 - 26 - TBL 104,soja,2026-05-16,9,22328.0
VG 063 - 26 - TBL 130,soja,2026-05-17,9,22328.0
VG 064 - 26 - BENÇÃO VI,soja,2026-05-18,12,23506.0
VG 065 - 26 - AIUBE,soja,2026-05-21,9,17741.0
VG 066 - 26 - TBL 134,soja,2026-05-22,9,22328.0
VG 067 - 26 - TBL 106,soja,2026-05-23,9,22328.0
VG 068- 26 - CUMARU,soja,2026-05-25,9,18264.0
VG 069- 26 - PNSIII,soja,2026-05-28,9,18000.0
VG 070- 26 - TBL 138,soja,2026-05-29,9,22328.0
VG 071- 26 - TBL 124,soja,2026-06-02,9,22328.0
VG 072- 26 - BENÇÃO VI,soja,2026-06-04,12,24225.0
VG 073- 26 - NAVEGRÃO,soja,2026-06-08,9,18014.0
VG 074- 26 - JOSE AIUBE,soja,2026-06-14,9,18000.0
VG 075- 26 - CUMARU,soja,2026-06-18,9,18101.0
VG 076 - 26 - TBL 106,soja,2026-06-26,7,22328.0
VG 077- 26 - BENÇÃO,soja,2026-06-26,12,23541.0
VG 078 - 26 - TBL 138,soja,2026-06-30,12,30100.0
VG 079- 26 - PNSIII,soja,2026-07-02,9,18000.0
VG 080 - 26 - ADM,soja,2026-07-05,2,4025.0
LDC,soja,2026-07-10,5,10000.0
