cliente_nome,data,hora,numero_bg,qtd_bg,previsao,comboio_nome
BUNGE,2026-01-21,1,6,13288.053,False,
BUNGE,2026-01-22,1,3,5018.998,False,VG 001 - 26 - JOSE AIUB
BUNGE,2026-01-25,1,4,8181.232,False,VG 002 - 26 - PNS III
BUNGE,2026-01-26,1,5,10058.306,False,VG 002 - 26 - PNS III
ADM,2026-01-29,1,1,4104.661,False,VG 002 - 26 - PNS III
ADM,2026-01-30,1,4,10759.863,False,VG 003 - 26 - TBL 118
BUNGE,2026-01-30,1,2,5671.972,False,VG 003 - 26 - TBL 118
ADM,2026-01-31,1,2,6167.132,False,VG 004 - 26 - CUMARU
BUNGE,2026-01-31,1,7,12975.26,False,VG 004 - 26 - CUMARU
ADM,2026-02-01,1,7,14089.862,False,VG 005 - 26 - TBL  114
COFCO,2026-02-01,1,2,5079.478,False,VG 005 - 26 - TBL  114
ADM,2026-02-02,1,6,15150.999,False,VG 006 - 26 - TBL  104
ADM,2026-02-03,1,2,3884.109,False,VG 006 - 26 - TBL  104
BUNGE,2026-02-04,1,5,8729.361,False,VG 006 - 26 - TBL  104
BUNGE,2026-02-05,1,4,10060.82,False,VG 007 - 26 - PNS II
ADM,2026-02-07,1,,1993.047,False,VG 008 - 26 - TBL 134
COFCO,2026-02-07,1,1,2403.591,False,VG 008 - 26 - TBL 134
ADM,2026-02-08,1,8,19994.283,False,VG 008 - 26 - TBL 134
COFCO,2026-02-08,1,1,2366.949,False,VG 008 - 26 - TBL 134
ADM,2026-02-09,1,2,2702.278,False,VG 008 - 26 - TBL 134
BUNGE,2026-02-09,1,5,13352.182,False,VG 008 - 26 - TBL 134
BUNGE,2026-02-10,1,4,4961.711,False,VG 009 - 26 - PNS III
ADM,2026-02-12,1,2,4734.151,False,VG 009 - 26 - PNS III
COFCO,2026-02-12,1,1,2409.401,False,VG 009 - 26 - PNS III
ADM,2026-02-13,1,5,12861.674,False,VG 010 - 26 - TBL 140
COFCO,2026-02-13,1,3,7423.974,False,VG 010 - 26 - TBL 140
ADM,2026-02-14,1,8,21546.375,False,VG 012 - 26 - JOSE AIUBE
ADM,2026-02-15,1,7,15158.22,False,VG 013 - 26 - TBL 122
BUNGE,2026-02-15,1,2,3940.444,False,VG 013 - 26 - TBL 122
ADM,2026-02-16,1,1,960.432,False,VG 013 - 26 - TBL 122
COFCO,2026-02-16,1,1,2878.8,False,VG 013 - 26 - TBL 122
BUNGE,2026-02-16,1,7,14306.261,False,VG 013 - 26 - TBL 122
ADM,2026-02-17,1,3,10987.487,False,VG 014 - 26 - TBL 138
COFCO,2026-02-17,1,5,9197.098,False,VG 014 - 26 - TBL 138
ADM,2026-02-18,1,3,5222.034,False,VG 014 - 26 - TBL 138
COFCO,2026-02-18,1,4,12234.31,False,VG 014 - 26 - TBL 138
ADM,2026-02-19,1,6,14954.877,False,VG 015 - 26 - TBL 104
