nome,eta_itacoatiara,etb_novo_remanso,produto,proprietario_cliente,volume_previsto
01- MV BW NARA,,,soja,,
02- MV AMARYLLIS,2026-01-24,2026-02-01,soja,ADM,57899.085
03- MV AOM FEDERICA,,,soja,ADM,56758.915
04- MV WADI SAFAGA,,,soja,BUNGE,56744.61
05- MV XIN QI XING,,,soja,COFCO,57600.225
06- MV VIENNA,,,soja,ADM,48802.515
07 - MV OTHRYS,,,soja,COFCO,49720.29
08- MV SUDETY,,,soja,BUNGE,58586.925
09- MV SALACIA,,,soja,ADM,56938.705
10- MV ARUNA GENGIZ,2026-03-01,2026-03-05,soja,,
11- MV PHILHOKUSAI,,,soja,ADM,49567.215
12-MV ATMOSPHERE,,,soja,ADM,55488.84
13- YM NAVIGATOR,,,soja,COFCO,58103.475
14- MV ASIAN PROGRESS,,,soja,BUNGE,35700.645
15- M/V ANNIKA N,2026-03-28,2026-03-28,soja,,
16 - MV IRIDA GS,,,soja,BUNGE,31136.4
17- MV EASTBOURNE,,,soja,BUNGE,33142.36
18- MV DESERT LEOPARD,,,soja,ADM,48555.03
19 - MV OBSESSION,,,soja,COFCO,49461.095
20 -MV BERGE SNOWDON,,,soja,BUNGE,32403.135
21-MV SSI CONQUEST,,,soja,,
22-MV SSI VICTORY,,,soja,BUNGE,41396.0
23- MV STAR VALENCIA,,,soja,,
24-MV SEA DAWN,,,soja,ADM,56340.0
25- MV OMIROS L,2026-05-13,2026-05-17,soja,BUNGE/FREE,42013.94
26- MV ALANOOD,2026-05-22,2026-05-22,soja,ADM,56580.305
27- MV SANTA VALENTINA,,,soja,BUNGE,39500.37
28-DRAFTSLAYER,2026-05-29,2026-05-29,soja,LDC,52100.65
29 - MV ES LEADER,2026-06-05,2026-06-06,soja,BUNGE,49498.935
30- MV LINDSAYLOU,2026-06-13,2026-06-13,soja,BUNGE,46832.265
31- MV COOPER ISLAND,2026-06-14,2026-06-15,soja,ADM,47001.0
32- MV ST AJISAI,,,soja,ADM,49217.0
LDC string COFCO 2K,,,soja,,
33-MV RELIABLE,2026-06-28,2026-06-28,soja,COFCO,33260.0
34 - MV ARNICA,,,soja,,
COFCO 375 Tons +-,,,soja,,
BUNGE,2026-07-14,2026-07-14,soja,FREE,
1240 falta ADM - Quebra terminal,,,soja,,
LDC,,,soja,SOJA,30000.0
COFCO,,,soja,Milho,30000.0
ADM,,,soja,Milho,50000.0
