cliente_nome,data,volume,previsao,navio_nome
BUNGE,2026-01-27,9036.26,False,
BUNGE,2026-01-28,20973.515,False,01- MV BW NARA
ADM,2026-01-29,4000.0,False,01- MV BW NARA
BUNGE,2026-01-29,5880.0,False,01- MV BW NARA
ADM,2026-01-30,10000.0,False,01- MV BW NARA
BUNGE,2026-01-30,7729.0,False,01- MV BW NARA
BUNGE,2026-01-31,57.245,False,01- MV BW NARA
ADM,2026-02-01,2538.86,False,02- MV AMARYLLIS
BUNGE,2026-02-01,10000.0,False,02- MV AMARYLLIS
ADM,2026-02-02,18382.441,False,02- MV AMARYLLIS
BUNGE,2026-02-02,1370.0,False,02- MV AMARYLLIS
ADM,2026-02-03,16858.154,False,02- MV AMARYLLIS
BUNGE,2026-02-03,2000.0,False,02- MV AMARYLLIS
ADM,2026-02-04,119.63,False,02- MV AMARYLLIS
BUNGE,2026-02-04,6630.0,False,02- MV AMARYLLIS
ADM,2026-02-09,8306.02,False,02- MV AMARYLLIS
ADM,2026-02-10,3389.68,False,03- MV AOM FEDERICA
COFCO,2026-02-10,9000.0,False,03- MV AOM FEDERICA
BUNGE,2026-02-10,12000.0,False,03- MV AOM FEDERICA
ADM,2026-02-11,11017.905,False,03- MV AOM FEDERICA
BUNGE,2026-02-11,11000.0,False,03- MV AOM FEDERICA
ADM,2026-02-12,2045.31,False,03- MV AOM FEDERICA
BUNGE,2026-02-12,4000.0,False,03- MV AOM FEDERICA
ADM,2026-02-12,5185.15,False,04- MV WADI SAFAGA
ADM,2026-02-13,16000.0,False,04- MV WADI SAFAGA
COFCO,2026-02-13,10000.0,False,04- MV WADI SAFAGA
BUNGE,2026-02-13,195.795,False,04- MV WADI SAFAGA
ADM,2026-02-14,17000.0,False,04- MV WADI SAFAGA
BUNGE,2026-02-14,132.01,False,04- MV WADI SAFAGA
ADM,2026-02-15,3814.85,False,04- MV WADI SAFAGA
BUNGE,2026-02-15,416.805,False,04- MV WADI SAFAGA
ADM,2026-02-15,13108.05,False,05- MV XIN QI XING
ADM,2026-02-16,1100.0,False,05- MV XIN QI XING
COFCO,2026-02-16,5748.725,False,05- MV XIN QI XING
BUNGE,2026-02-16,15000.0,False,05- MV XIN QI XING
ADM,2026-02-17,5791.95,False,05- MV XIN QI XING
COFCO,2026-02-17,14104.924,False,05- MV XIN QI XING
ADM,2026-02-18,3624.78,False,05- MV XIN QI XING
COFCO,2026-02-18,2746.576,False,05- MV XIN QI XING
ADM,2026-02-19,19280.235,False,06- MV VIENNA
COFCO,2026-02-19,2000.0,False,06- MV VIENNA
BUNGE,2026-02-19,2000.0,False,06- MV VIENNA
ADM,2026-02-20,1149.39,False,06- MV VIENNA
COFCO,2026-02-20,9000.0,False,06- MV VIENNA
BUNGE,2026-02-20,11000.0,False,06- MV VIENNA
ADM,2026-02-21,748.11,False,06- MV VIENNA
ADM,2026-02-21,2000.0,False,07 - MV OTHRYS
COFCO,2026-02-21,338.385,False,07 - MV OTHRYS
BUNGE,2026-02-21,10000.0,False,07 - MV OTHRYS
ADM,2026-02-22,17201.285,False,07 - MV OTHRYS
BUNGE,2026-02-22,2000.0,False,07 - MV OTHRYS
ADM,2026-02-24,2798.715,False,07 - MV OTHRYS
BUNGE,2026-02-24,9772.998,False,07 - MV OTHRYS
COFCO,2026-02-25,5381.905,False,07 - MV OTHRYS
BUNGE,2026-02-25,227.002,False,07 - MV OTHRYS
BUNGE,2026-02-26,9097.915,False,07 - MV OTHRYS
ADM,2026-02-27,7000.0,False,08- MV SUDETY
COFCO,2026-02-27,9000.0,False,08- MV SUDETY
BUNGE,2026-02-27,3615.26,False,08- MV SUDETY
ADM,2026-02-28,7000.0,False,08- MV SUDETY
COFCO,2026-02-28,8000.0,False,08- MV SUDETY
BUNGE,2026-02-28,4711.685,False,08- MV SUDETY
BUNGE,2026-03-01,10162.065,False,08- MV SUDETY
ADM,2026-03-02,15140.435,False,08- MV SUDETY
ADM,2026-03-03,5688.58,False,09- MV SALACIA
COFCO,2026-03-03,9000.0,False,09- MV SALACIA
BUNGE,2026-03-03,12000.0,False,09- MV SALACIA
ADM,2026-03-04,10109.69,False,09- MV SALACIA
COFCO,2026-03-04,5000.0,False,09- MV SALACIA
BUNGE,2026-03-05,13654.425,False,10- MV ARUNA GENGIZ
ADM,2026-03-06,19000.0,False,10- MV ARUNA GENGIZ
COFCO,2026-03-06,3000.0,False,10- MV ARUNA GENGIZ
BUNGE,2026-03-06,3753.47,False,10- MV ARUNA GENGIZ
COFCO,2026-03-07,3000.0,False,10- MV ARUNA GENGIZ
BUNGE,2026-03-07,6052.36,False,10- MV ARUNA GENGIZ
ADM,2026-03-08,12679.735,False,10- MV ARUNA GENGIZ
ADM,2026-03-09,11694.28,False,11- MV PHILHOKUSAI
COFCO,2026-03-09,9000.0,False,11- MV PHILHOKUSAI
BUNGE,2026-03-09,3000.0,False,11- MV PHILHOKUSAI
ADM,2026-03-10,4374.095,False,11- MV PHILHOKUSAI
BUNGE,2026-03-10,5000.0,False,11- MV PHILHOKUSAI
